[2020-01-15T10:39:43.632] [INFO] default - [::1 POST //home/login 404 71ms][http://localhost:8081/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36]
[2020-01-15T10:40:07.212] [INFO] default - [::1 OPTIONS /home/login 200 1ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36]
[2020-01-15T10:40:07.220] [INFO] default - [::1 POST /home/login 404 2ms][http://localhost:8081/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36]
[2020-01-15T10:53:34.875] [INFO] default - [::1 OPTIONS /home/login 200 1ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36]
[2020-01-15T10:53:34.883] [INFO] default - [::1 POST /home/login 404 2ms][http://localhost:8081/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36]
[2020-01-15T10:57:32.174] [INFO] default - [::1 OPTIONS /home/login 200 1ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36]
[2020-01-15T10:57:32.180] [INFO] default - [::1 POST /home/login 404 1ms][http://localhost:8081/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36]
[2020-01-15T10:57:46.653] [INFO] default - [::ffff:127.0.0.1 OPTIONS /home/login 200 10ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36]
[2020-01-15T10:58:28.203] [INFO] default - [::1 OPTIONS /home/login 200 7ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36]
[2020-01-15T10:58:28.343] [INFO] default - [::1 POST /home/login 200 134ms][http://localhost:8081/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36]
[2020-01-15T10:59:07.406] [INFO] default - [::1 OPTIONS /home/login 200 13ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36]
[2020-01-15T10:59:07.532] [INFO] default - [::1 POST /home/login 200 117ms][http://localhost:8081/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36]
[2020-01-15T10:59:37.905] [INFO] default - [::1 OPTIONS /home/login 200 10ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36]
[2020-01-15T10:59:37.986] [INFO] default - [::1 POST /home/login 200 74ms][http://localhost:8081/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36]
[2020-01-15T11:00:04.228] [INFO] default - [::1 OPTIONS /home/login 200 13ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36]
[2020-01-15T11:00:04.312] [INFO] default - [::1 POST /home/login 404 78ms][http://localhost:8081/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36]
[2020-01-15T11:01:00.808] [INFO] default - [::1 OPTIONS /home/login 200 19ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36]
[2020-01-15T11:01:00.859] [INFO] default - [::1 POST /home/login 404 39ms][http://localhost:8081/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36]
[2020-01-15T11:01:34.702] [INFO] default - [::1 OPTIONS /home/login 200 11ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36]
[2020-01-15T11:01:34.778] [INFO] default - [::1 POST /home/login 404 65ms][http://localhost:8081/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36]
[2020-01-15T11:02:55.685] [INFO] default - [::1 OPTIONS /home/login 200 13ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36]
[2020-01-15T11:02:55.742] [INFO] default - [::1 POST /home/login 404 46ms][http://localhost:8081/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36]
